"filename", "language", "Markdown", "XML", "JSON", "C#", "comment", "blank", "total"
"c:\Driza\DrizaSharp\Compiler\Rules\Context\Parser.cs", "C#", 0, 0, 0, 76, 4, 11, 91
"c:\Driza\DrizaSharp\Compiler\Rules\Definitions\Lexer.cs", "C#", 0, 0, 0, 13, 2, 2, 17
"c:\Driza\DrizaSharp\Compiler\Rules\Definitions\Parser.cs", "C#", 0, 0, 0, 95, 12, 23, 130
"c:\Driza\DrizaSharp\Compiler\Shared.cs", "C#", 0, 0, 0, 24, 2, 6, 32
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly.cs", "C#", 0, 0, 0, 227, 22, 46, 295
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Fields.cs", "C#", 0, 0, 0, 45, 7, 13, 65
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Methods.cs", "C#", 0, 0, 0, 200, 16, 43, 259
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Properties.cs", "C#", 0, 0, 0, 51, 6, 11, 68
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Types.cs", "C#", 0, 0, 0, 254, 20, 49, 323
"c:\Driza\DrizaSharp\Compiler\Virtual\Debugger.cs", "C#", 0, 0, 0, 65, 3, 13, 81
"c:\Driza\DrizaSharp\Compiler\Virtual\World.cs", "C#", 0, 0, 0, 8, 1, 2, 11
"c:\Driza\DrizaSharp\Compiler\Virtual\World\Usage.cs", "C#", 0, 0, 0, 111, 32, 26, 169
"c:\Driza\DrizaSharp\DrizaSharp.csproj", "XML", 0, 11, 0, 0, 0, 4, 15
"c:\Driza\DrizaSharp\Program.cs", "C#", 0, 0, 0, 3, 1, 1, 5
"c:\Driza\DrizaSharp\Program.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Driza\DrizaSharp\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"c:\Driza\DrizaSharp\dzdiag.config.json", "JSON", 0, 0, 15, 0, 0, 0, 15
"Total", "-", 0, 11, 24, 5772, 1032, 1081, 7920
