"filename", "language", "Markdown", "JSON", "C#", "XML", "comment", "blank", "total"
"c:\Driza\DrizaSharp\Compiler\Rules\Context.cs", "C#", 0, 0, 17, 0, 0, 4, 21
"c:\Driza\DrizaSharp\Compiler\Rules\Context\Lexer.cs", "C#", 0, 0, 31, 0, 3, 6, 40
"c:\Driza\DrizaSharp\Compiler\Rules\Context\Parser.cs", "C#", 0, 0, 77, 0, 4, 12, 93
"c:\Driza\DrizaSharp\Compiler\Rules\Definitions\Lexer.cs", "C#", 0, 0, 13, 0, 2, 2, 17
"c:\Driza\DrizaSharp\Compiler\Rules\Definitions\Parser.cs", "C#", 0, 0, 95, 0, 12, 23, 130
"c:\Driza\DrizaSharp\Compiler\Shared.cs", "C#", 0, 0, 24, 0, 2, 6, 32
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly.cs", "C#", 0, 0, 227, 0, 22, 46, 295
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Fields.cs", "C#", 0, 0, 45, 0, 7, 13, 65
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Methods.cs", "C#", 0, 0, 200, 0, 16, 43, 259
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Properties.cs", "C#", 0, 0, 51, 0, 6, 11, 68
"c:\Driza\DrizaSharp\Compiler\Virtual\Assembly\Types.cs", "C#", 0, 0, 254, 0, 20, 49, 323
"c:\Driza\DrizaSharp\Compiler\Virtual\Debugger.cs", "C#", 0, 0, 65, 0, 3, 13, 81
"c:\Driza\DrizaSharp\Compiler\Virtual\World.cs", "C#", 0, 0, 8, 0, 1, 2, 11
"c:\Driza\DrizaSharp\Compiler\Virtual\World\Usage.cs", "C#", 0, 0, 111, 0, 32, 26, 169
"c:\Driza\DrizaSharp\DrizaSharp.csproj", "XML", 0, 0, 0, 11, 0, 4, 15
"c:\Driza\DrizaSharp\Program.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Driza\DrizaSharp\Program.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"c:\Driza\DrizaSharp\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"c:\Driza\DrizaSharp\dzdiag.config.json", "JSON", 0, 15, 0, 0, 0, 0, 15
"Total", "-", 0, 24, 6086, 11, 644, 1199, 7964
